chip_slug,as_of_date,window_days,n_sources,confidence,n_available,breadth,n_available_8x,breadth_8x,panel_signature,pct_available_median,pct_available_8x_median,pct_available_mean,pct_available_8x_mean,methodology_version
gb200,2026-07-03,7,1,thin,0,0.0,0,,7a13e5b6,0.0,,0.0,,v2.2.1
gb200,2026-07-04,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-05,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-06,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-07,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-08,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-09,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-10,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-11,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-12,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-13,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-14,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-15,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-16,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-17,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-18,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-19,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-20,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-21,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-22,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-23,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-24,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-25,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-26,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-27,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-28,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-29,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-30,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-07-31,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-08-01,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-08-02,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-08-03,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-08-04,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-08-05,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-08-06,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-08-07,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-08-08,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
gb200,2026-08-09,7,2,thin,0,0.0,0,,8f925636,0.0,,0.0,,v2.2.1
